mission,astronaut
1,1
2,2
3,3
4,4
5,5
6,6
7,8
8,7
9,9
10,10
11,11
12,12
13,13
14,13
15,14
15,15
15,16
16,17
16,18
17,3
17,19
18,20
18,21
19,10
19,22
20,23
20,24
21,9
21,25
22,26
22,40
23,25
23,27
24,19
24,28
25,22
25,29
26,30
26,24
27,15
28,31
28,32
28,9
29,33
30,34
30,23
30,24
31,36
32,35
32,37
32,38
33,39
33,40
33,20
34,19
34,25
34,27
35,26
35,28
35,30
36,43
36,44
37,41
37,42
37,45
38,36
38,38
39,22
39,29
39,46
40,24
40,47
40,48
41,8
41,49
42,2
42,51
42,50
43,36
43,38
43,52
44,53
44,45
44,54
45,40
45,56
45,55
46,19
46,58
46,57
47,27
47,59
47,60
48,22
48,61
48,62
49,46
49,63
49,64
50,65
50,66
51,67
51,68
51,69
52,70
52,71
53,7
53,72
54,73
54,74
55,41
55,52
56,75
56,76
57,70
57,49
58,18
58,43
59,25
59,77
59,78
