personId,countryId
1,12
2,1
3,1
4,12
5,1
6,1
7,8
8,12
9,1
10,1
11,12
12,12
13,1
14,12
15,12
16,12
17,12
18,12
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,3
29,1
30,1
31,1
32,1
33,8
34,11
35,12
36,5
37,12
38,12
39,1
40,1
41,12
42,12
43,12
44,8
45,12
46,1
47,1
48,1
49,12
50,1
51,1
52,12
53,8
54,12
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,12
66,12
67,1
68,1
69,1
70,22
71,12
72,12
73,12
74,12
75,12
76,12
77,1
78,1
